Lipid Species,Lipid Class,log2FC,pValue,pValue_log10,FDR,ABS(log2FC)
Hex1Cer d18:1/16:0,HexCer,0.005,0.9739,0.011485634,0.9739,0.005305269
LPE 18:0,LPE,0.004,0.9727,0.012021084,0.9739,0.003880441
PE 38:6,PE,-0.017,0.9505,0.022047879,0.9566,0.017192161
TG 18:2_36:4,TG,-0.041,0.9422,0.0258569,0.9513,0.040913347
PC P-32:0,PC,-0.009,0.9414,0.026225806,0.9513,0.009405067
PE 36:2,PE,0.024,0.9165,0.037867531,0.9313,0.023729246
SM 40:2,SM,0.017,0.8985,0.046481919,0.916,0.017285359
TG 22:6_36:2,TG,-0.071,0.8974,0.047013935,0.916,0.07145202
SM 42:1,SM,0.019,0.8904,0.050414849,0.9136,0.019203307
GM3 d18:1/16:0,GM3,-0.015,0.8838,0.053646003,0.9098,0.014852319
Cer d18:1/24:0,Cer,0.036,0.8505,0.070325682,0.8785,0.035733254
LPC 17:0,LPC,-0.038,0.8501,0.070529984,0.8785,0.038052104
LPC 18:0,LPC,0.052,0.8488,0.071194629,0.8785,0.052062941
TG 18:1_36:4,TG,-0.136,0.7795,0.10818388,0.8132,0.136312683
LPC 20:1,LPC,0.055,0.7683,0.114469167,0.8041,0.055275988
PC 36:2,PC,0.043,0.7371,0.132473589,0.7741,0.043119288
PC P-40:6,PC,-0.07,0.7281,0.137808969,0.7671,0.070086871
PE 36:3,PE,0.1,0.7218,0.141583122,0.7632,0.099682069
PI 36:2,PI,-0.104,0.7197,0.142848497,0.7632,0.104387777
S1P d18:2,S1P,0.051,0.717,0.144480844,0.7631,0.05051351
SM 42:2,SM,-0.058,0.7136,0.146545159,0.7622,0.057627846
LPC 22:0,LPC,0.075,0.7056,0.151441428,0.7561,0.074964318
TG 18:2_34:4,TG,0.208,0.6835,0.165261481,0.735,0.20823775
LPC 22:6,LPC,-0.141,0.6642,0.177701129,0.7167,0.140802355
TG 17:0_36:4,TG,0.155,0.6483,0.188223978,0.702,0.155147172
PE O-38:5,PE,-0.1,0.643,0.191789027,0.6986,0.100109403
TG 18:1_34:4,TG,0.186,0.6379,0.195247398,0.6955,0.186114745
CE 20:2,CE,-0.143,0.6172,0.209574083,0.6753,0.142842385
Hex1Cer d18:1/24:0,HexCer,-0.088,0.6152,0.210983673,0.6753,0.088183553
PE 38:5,PE,-0.139,0.6036,0.219250769,0.665,0.138938094
SM 39:1,SM,0.103,0.5904,0.228853651,0.6527,0.10269275
S1P d19:1,S1P,-0.065,0.5886,0.230179742,0.6527,0.065052413
PC O-40:7,PC,0.099,0.5876,0.230918213,0.6527,0.099497254
TG 18:0_36:4,TG,0.227,0.5721,0.242528052,0.6393,0.22679949
PE 40:6,PE,0.172,0.571,0.243363892,0.6393,0.17214359
PC 36:5,PC,0.132,0.5343,0.272214826,0.6013,0.131998358
Cer d18:2/24:1,Cer,-0.181,0.5283,0.277119389,0.5967,0.181198564
TG 18:2_34:3,TG,-0.373,0.5205,0.283579266,0.59,0.373342447
Hex2Cer d18:1/24:0,Hex2Cer,-0.117,0.5152,0.288024146,0.5862,0.116823606
PE P-16:0/22:5,PE,-0.134,0.5131,0.289797985,0.5859,0.134305874
SM 32:1,SM,0.083,0.5117,0.290984583,0.5859,0.082863839
GM3 d18:1/24:0,GM3,0.103,0.5061,0.295763663,0.5821,0.102773455
CE 22:6,CE,0.326,0.4982,0.302596277,0.5751,0.326091976
TG 18:0_36:0,TG,-0.235,0.4981,0.302683458,0.5751,0.235426569
LPC 20:3,LPC,-0.135,0.4868,0.31264943,0.5661,0.134794133
PE P-18:0/22:6,PE,-0.162,0.4821,0.316862869,0.5628,0.162492532
LPC 24:0,LPC,0.19,0.4706,0.327348077,0.5513,0.1901683
LPI 18:0,LPI,-0.193,0.4604,0.336864685,0.5415,0.193015332
SM 42:3,SM,-0.136,0.4481,0.348625056,0.529,0.135620596
S1P d20:1,S1P,-0.112,0.4274,0.369165482,0.5064,0.112324153
Hex1Cer d18:1/20:0,HexCer,-0.18,0.4102,0.387004344,0.4879,0.179587196
PE P-16:0/22:6,PE,0.124,0.4063,0.391153178,0.4851,0.123808081
PE 36:1,PE,-0.282,0.3988,0.39924485,0.478,0.282297243
SM 38:2,SM,-0.132,0.3965,0.401756808,0.477,0.131698402
PC 36:1,PC,-0.169,0.3951,0.40329297,0.477,0.168847213
PS 38:4,PS,0.276,0.3869,0.41240127,0.4691,0.275581412
LPC O-22:0,LPC,-0.187,0.3851,0.414426481,0.4687,0.186952013
PE P-16:0/18:2,PE,0.427,0.3786,0.42181939,0.4626,0.426823458
LPI 18:2,LPI,-0.312,0.3737,0.427476902,0.4584,0.311966245
PI 40:6,PI,-0.155,0.3625,0.440691989,0.4464,0.154817953
PC 40:6,PC,0.256,0.3609,0.442613118,0.4462,0.256054673
PI 36:1,PI,-0.19,0.3493,0.456801414,0.4335,0.189660585
PE P-18:0/18:2,PE,-0.195,0.3435,0.464073259,0.428,0.194788887
GM3 d18:1/18:0,GM3,-0.178,0.3348,0.475214551,0.4188,0.177932626
SM 34:0,SM,0.295,0.3344,0.475733731,0.4188,0.29547566
Hex3Cer d18:1/16:0,Hex3Cer,-0.152,0.3207,0.49390104,0.4044,0.152202861
PC 40:7,PC,0.322,0.3173,0.498529928,0.4018,0.321587229
LPE 18:2,LPE,-0.169,0.316,0.500312917,0.4017,0.168572086
PC 38:3,PC,-0.125,0.31,0.508638306,0.3957,0.125337033
PC P-34:2,PC,-0.22,0.2999,0.523023534,0.3844,0.220399342
TG 16:1_36:5,TG,0.56,0.2806,0.551912333,0.3612,0.560223151
SM 41:1,SM,-0.21,0.2698,0.568958055,0.3486,0.210305017
TG 18:1_34:3,TG,-0.759,0.2324,0.633763876,0.3015,0.759384938
PE P-18:0/22:5,PE,-0.332,0.224,0.649751982,0.2918,0.331535097
PE 38:4,PE,-0.353,0.2068,0.684449466,0.2705,0.352960647
PE O-36:2,PE,-0.351,0.2065,0.685079944,0.2705,0.351011804
TG 16:0_34:4,TG,-0.572,0.2011,0.696587929,0.2653,0.571893758
TG 16:0_36:4,TG,-0.847,0.1995,0.7000571,0.2643,0.847371869
SM 34:2,SM,-0.237,0.1945,0.711080394,0.2587,0.236993004
CE 20:3,CE,-0.272,0.1944,0.711303739,0.2587,0.272031228
PI 38:2,PI,0.362,0.1923,0.716020716,0.258,0.362267495
PE 38:3,PE,0.382,0.1879,0.72607322,0.2533,0.382236118
PC 36:3,PC,0.197,0.1867,0.728855682,0.2527,0.196995337
LPC O-18:1,LPC,-0.333,0.1806,0.743282254,0.2455,0.332581759
LPC 20:2,LPC,-0.236,0.1779,0.749824052,0.2428,0.236351
PI 38:6,PI,-0.292,0.1678,0.775208044,0.2301,0.292049937
PE O-36:4,PE,0.214,0.1673,0.776504059,0.2301,0.214281795
PC P-38:5,PC,-0.199,0.1543,0.811634074,0.2134,0.198855099
PI 38:5,PI,-0.343,0.1511,0.820735536,0.21,0.342966332
SM 31:1,SM,0.198,0.1511,0.820735536,0.21,0.197850132
PC 40:8,PC,-0.496,0.1461,0.835349784,0.2048,0.495935088
TG 16:1_36:4,TG,-1.154,0.1358,0.86710023,0.1911,1.15362694
SM 35:2,SM,0.292,0.1297,0.887060024,0.1835,0.291770065
TG 20:4_36:4,TG,-0.9,0.1218,0.914352712,0.1731,0.900249095
Hex2Cer d18:1/22:0,Hex2Cer,-0.397,0.114,0.943095149,0.1627,0.396605405
LPI 20:4,LPI,-0.41,0.1121,0.950394387,0.1608,0.409673233
TG 20:4_36:1,TG,-0.551,0.1095,0.960585881,0.1577,0.551415294
Cer d18:1/24:1,Cer,-0.33,0.1061,0.974284616,0.1535,0.329877334
PC P-32:1,PC,-0.323,0.1061,0.974284616,0.1535,0.32335893
LPC O-16:0,LPC,-0.331,0.1046,0.980468315,0.1528,0.330998562
PE 40:7,PE,-0.849,0.1033,0.985899678,0.1516,0.848764926
PE P-18:0/18:1,PE,-0.351,0.097,1.013228266,0.143,0.350906505
Hex2Cer d18:1/24:1,Hex2Cer,-0.264,0.0942,1.025949097,0.1395,0.263723409
PC 38:2,PC,0.213,0.0919,1.036684489,0.1368,0.21260561
TG 18:2_38:7,TG,0.575,0.0902,1.044793462,0.1349,0.574744333
TG 18:3_34:2,TG,0.77,0.0875,1.057991947,0.1314,0.770203666
Cer d18:2/22:0,Cer,-0.539,0.0836,1.077793723,0.1262,0.53871693
Hex1Cer d18:1/18:0,HexCer,-0.445,0.0833,1.079354999,0.1262,0.444713182
PI 36:3,PI,0.574,0.0821,1.085656843,0.1251,0.574304695
Hex2Cer d18:1/20:0,Hex2Cer,-0.445,0.079,1.102372909,0.121,0.445120962
TG 14:0_36:4,TG,-1.583,0.079,1.102372909,0.121,1.582705347
DG 18:0_20:4,DG,-0.537,0.0758,1.120330794,0.1173,0.536702701
DG 16:0_22:5,DG,-1.39,0.0751,1.124360063,0.1168,1.389937392
PC 38:6,PC,-0.545,0.0749,1.125518182,0.1168,0.54484326
SM 38:1,SM,-0.32,0.0741,1.130181792,0.1163,0.320056102
DG 18:2_18:2,DG,-1.072,0.0703,1.153044675,0.1109,1.07204781
PC P-36:4,PC,-0.355,0.0698,1.156144577,0.1107,0.354722713
PE 40:5,PE,-0.864,0.0662,1.179142011,0.1055,0.863982629
LPC 15:0,LPC,-0.45,0.0653,1.185086819,0.1046,0.450322456
PC 35:2,PC,-0.284,0.0635,1.197226275,0.1022,0.2838632
TG 18:2_36:5,TG,0.741,0.0606,1.217527376,0.098,0.740807103
TG 18:2_38:4,TG,-1.044,0.0575,1.240332155,0.0935,1.043845233
S1P d18:1,S1P,-0.37,0.0567,1.246416941,0.0928,0.369773704
SM 40:1,SM,-0.321,0.0566,1.247183569,0.0928,0.320986316
LPC 18:2,LPC,-0.341,0.0512,1.290730039,0.0846,0.340651951
Hex1Cer d18:1/22:0,HexCer,-0.572,0.048,1.318758763,0.0798,0.572173906
TG 20:5_34:1,TG,-0.545,0.0459,1.338187314,0.0766,0.545298181
PC P-36:2,PC,-0.426,0.0453,1.343901798,0.076,0.426015215
TG 18:2_32:2,TG,-3.374,0.0393,1.40560745,0.0664,3.374223921
LPC O-22:1,LPC,-0.41,0.0354,1.450996738,0.0601,0.409825263
PC 38:5,PC,0.446,0.0354,1.450996738,0.0601,0.445980624
TG 22:5_34:2,TG,-1.615,0.0354,1.450996738,0.0601,1.615321331
SM 32:2,SM,-0.433,0.0338,1.4710833,0.0582,0.433217851
TG 18:2_36:3,TG,-1.139,0.0323,1.490797478,0.056,1.138921053
SM 36:2,SM,-0.366,0.0321,1.493494968,0.056,0.36648823
PC 34:4,PC,-1.018,0.0315,1.501689446,0.0552,1.017592337
TG 18:4_34:2,TG,0.907,0.0314,1.503070352,0.0552,0.907321896
Cer d18:1/20:0,Cer,-0.637,0.0312,1.505845406,0.0552,0.636692493
SM 35:1,SM,0.588,0.0308,1.511449283,0.055,0.588467306
TG 16:1_34:3,TG,-1.878,0.0288,1.540607512,0.0516,1.877543904
TG 16:0_36:5,TG,1.038,0.0269,1.57024772,0.0486,1.037893907
TG 15:0_36:3,TG,-2.145,0.026,1.585026652,0.0472,2.144600793
TG 18:2_34:2,TG,-2.172,0.0253,1.596879479,0.0462,2.171766059
TG 22:4_34:2,TG,-3.167,0.0252,1.598599459,0.0462,3.167230674
PE 34:3,PE,0.888,0.025,1.602059991,0.0462,0.887817957
PC 38:4,PC,-0.395,0.0249,1.603800653,0.0462,0.39453903
TG 17:0_36:3,TG,-1.466,0.0247,1.607303047,0.0462,1.466230152
TG 20:4_32:2,TG,-3.464,0.0242,1.616184634,0.0455,3.464269924
TG 15:0_36:2,TG,-1.755,0.024,1.619788758,0.0454,1.755354451
LPC O-18:0,LPC,-0.449,0.0238,1.623423043,0.0454,0.449454886
TG 18:2_35:1,TG,-1.532,0.0234,1.630784143,0.0448,1.53233269
SM 36:3,SM,-0.504,0.023,1.638272164,0.0443,0.50353199
PC 40:5,PC,-0.559,0.0229,1.640164518,0.0443,0.558765409
PC O-36:2,PC,-0.343,0.0228,1.642065153,0.0443,0.343175697
