DogID,Diet,LipidClass,Conc
1,Diet-1,CE,8813.732628523001
1,Diet-1,Cer,5.569169977
1,Diet-1,DG,128.735038275
1,Diet-1,GM3,1.281958251
1,Diet-1,Hex1Cer,0.546636657
1,Diet-1,Hex2Cer,1.318514308
1,Diet-1,Hex3Cer,0.170922966
1,Diet-1,LPC,729.6923135920001
1,Diet-1,LPC-O,11.481850522
1,Diet-1,LPE,10.631958757
1,Diet-1,LPI,0.317316955
1,Diet-1,PC,3366.4413881780006
1,Diet-1,PC-O,172.81779041200002
1,Diet-1,PC-P,43.765395428
1,Diet-1,PE,15.153685559
1,Diet-1,PE-O,10.949534371
1,Diet-1,PE-P,5.222875226
1,Diet-1,PI,100.321798138
1,Diet-1,PS,0.489880351
1,Diet-1,S1P,1.497454732
1,Diet-1,SM,689.3402986020001
1,Diet-1,TG,1930.5887509610002
2,Diet-2,CE,5845.597288658
2,Diet-2,Cer,3.42642821
2,Diet-2,DG,43.176687469
2,Diet-2,GM3,1.172842143
2,Diet-2,Hex1Cer,0.537419635
2,Diet-2,Hex2Cer,0.673706756
2,Diet-2,Hex3Cer,0.118933197
2,Diet-2,LPC,431.9709487019999
2,Diet-2,LPC-O,4.0572364059999995
2,Diet-2,LPE,7.8370297419999995
2,Diet-2,LPI,0.145045036
2,Diet-2,PC,2612.3046045499996
2,Diet-2,PC-O,73.152750871
2,Diet-2,PC-P,33.660101284
2,Diet-2,PE,16.931576497
2,Diet-2,PE-O,4.859121872999999
2,Diet-2,PE-P,3.249646802
2,Diet-2,PI,71.548114556
2,Diet-2,PS,0.329179357
2,Diet-2,S1P,0.822969969
2,Diet-2,SM,385.06230029200003
2,Diet-2,TG,620.4195535449998
3,Diet-2,CE,7616.635461483
3,Diet-2,Cer,4.3861747079999995
3,Diet-2,DG,47.999601309999996
3,Diet-2,GM3,1.142718801
3,Diet-2,Hex1Cer,0.517401413
3,Diet-2,Hex2Cer,1.029450232
3,Diet-2,Hex3Cer,0.130286457
3,Diet-2,LPC,731.5753601849999
3,Diet-2,LPC-O,7.280389403
3,Diet-2,LPE,9.794657571999998
3,Diet-2,LPI,0.35506331599999996
3,Diet-2,PC,3203.470880678
3,Diet-2,PC-O,116.210518865
3,Diet-2,PC-P,44.748882273
3,Diet-2,PE,19.181854485
3,Diet-2,PE-O,8.174564698
3,Diet-2,PE-P,4.163901695
3,Diet-2,PI,103.60671556
3,Diet-2,PS,0.435554297
3,Diet-2,S1P,0.8892823080000001
3,Diet-2,SM,434.637275008
3,Diet-2,TG,565.7891951599998
4,Diet-1,CE,12023.891611552
4,Diet-1,Cer,6.262774942
4,Diet-1,DG,113.108464884
4,Diet-1,GM3,1.191156175
4,Diet-1,Hex1Cer,0.8501503360000001
4,Diet-1,Hex2Cer,1.885961273
4,Diet-1,Hex3Cer,0.234650038
4,Diet-1,LPC,1049.8586385840001
4,Diet-1,LPC-O,8.675341792
4,Diet-1,LPE,13.729678757
4,Diet-1,LPI,0.354815799
4,Diet-1,PC,4870.723576886
4,Diet-1,PC-O,173.58888991799998
4,Diet-1,PC-P,48.32733643700001
4,Diet-1,PE,31.488176094000004
4,Diet-1,PE-O,10.189251956
4,Diet-1,PE-P,8.288097488000002
4,Diet-1,PI,118.405295783
4,Diet-1,PS,0.175645235
4,Diet-1,S1P,0.737070825
4,Diet-1,SM,844.698508111
4,Diet-1,TG,2527.255900557999
5,Diet-1,CE,11950.828654819
5,Diet-1,Cer,6.844431484
5,Diet-1,DG,242.59410232999997
5,Diet-1,GM3,1.090416997
5,Diet-1,Hex1Cer,0.606235271
5,Diet-1,Hex2Cer,1.040251431
5,Diet-1,Hex3Cer,0.17735568
5,Diet-1,LPC,1131.792363245
5,Diet-1,LPC-O,9.384056564
5,Diet-1,LPE,12.287636689000001
5,Diet-1,LPI,0.338479669
5,Diet-1,PC,4350.057789772
5,Diet-1,PC-O,134.15998855200002
5,Diet-1,PC-P,39.930942138
5,Diet-1,PE,33.151600358
5,Diet-1,PE-O,9.044996342
5,Diet-1,PE-P,5.8844228439999995
5,Diet-1,PI,96.235916265
5,Diet-1,PS,0.123451195
5,Diet-1,S1P,1.150044842
5,Diet-1,SM,750.2980042339999
5,Diet-1,TG,3803.1792642930013
6,Diet-2,CE,7727.643616104
6,Diet-2,Cer,3.8909517549999997
6,Diet-2,DG,29.13646684
6,Diet-2,GM3,1.434303156
6,Diet-2,Hex1Cer,0.599706546
6,Diet-2,Hex2Cer,0.704166137
6,Diet-2,Hex3Cer,0.129902414
6,Diet-2,LPC,497.5575130210001
6,Diet-2,LPC-O,4.097951405
6,Diet-2,LPE,10.245269433999999
6,Diet-2,LPI,0.177222261
6,Diet-2,PC,3507.055422504999
6,Diet-2,PC-O,89.526171048
6,Diet-2,PC-P,43.287880513000005
6,Diet-2,PE,22.147012431
6,Diet-2,PE-O,9.298396638
6,Diet-2,PE-P,4.486196215
6,Diet-2,PI,104.98904514099999
6,Diet-2,PS,0.432411682
6,Diet-2,S1P,0.858942368
6,Diet-2,SM,414.72223695900004
6,Diet-2,TG,326.413694207
7,Diet-1,CE,14365.828085359002
7,Diet-1,Cer,7.481654194
7,Diet-1,DG,144.10893895
7,Diet-1,GM3,1.198909035
